[Feb 21 10:30:27.735] [ET_NET 6] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [63] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9ec8, reader_start_offset=1364
[Feb 21 10:30:27.806] [ET_NET 9] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [66] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f4b58, reader_start_offset=2558
[Feb 21 10:30:27.810] [ET_NET 6] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [64] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9ec8, reader_start_offset=2558
[Feb 21 10:30:27.811] [ET_NET 7] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [67] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9dd8, reader_start_offset=2558
[Feb 21 10:30:27.812] [ET_NET 18] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [75] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9ce8, reader_start_offset=2558
[Feb 21 10:30:27.812] [ET_NET 10] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [65] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f5ff8, reader_start_offset=2558
[Feb 21 10:30:27.814] [ET_NET 23] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [83] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9bf8, reader_start_offset=2558
[Feb 21 10:30:27.814] [ET_NET 4] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [84] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbdb8, reader_start_offset=2558
[Feb 21 10:30:27.815] [ET_NET 13] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [68] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fafa8, reader_start_offset=2558
[Feb 21 10:30:27.815] [ET_NET 1] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [74] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fa918, reader_start_offset=2558
[Feb 21 10:30:27.816] [ET_NET 5] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [86] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbcc8, reader_start_offset=2558
